
--- EPHEMERIDES REPORT ---
Generated on: 2026-04-21 10:06:33
Start Date: 1000-06-21
End Date: 2000-06-21
Step Size: 10 years
--------------------------------------

PLANET: MERCURY
Date         | Time       | RA           | Dec          | Dist         | Elongation
--------------------------------------------------------------------------------
1000-06-21   | 00:00:00   | 07h08m29s    | 21°12'38"    | 0.01 AU      | 16.552°
1010-06-21   | 00:00:00   | 05h27m36s    | 23°50'30"    | 0.01 AU      | 6.457°
1020-06-21   | 00:00:00   | 06h33m02s    | 21°31'58"    | 0.01 AU      | 8.280°
1030-06-21   | 00:00:00   | 05h47m08s    | 24°06'29"    | 0.01 AU      | 2.216°
1040-06-21   | 00:00:00   | 05h49m00s    | 21°30'50"    | 0.01 AU      | 2.967°
1050-06-21   | 00:00:00   | 06h06m53s    | 24°11'01"    | 0.01 AU      | 2.382°
1060-06-21   | 00:00:00   | 05h07m19s    | 21°01'50"    | 0.01 AU      | 12.285°
1070-06-21   | 00:00:00   | 06h26m25s    | 24°04'00"    | 0.01 AU      | 6.617°
1080-06-21   | 00:00:00   | 04h37m03s    | 20°27'41"    | 0.01 AU      | 19.452°
1090-06-21   | 00:00:00   | 06h45m16s    | 23°46'04"    | 0.01 AU      | 10.773°
1100-06-21   | 00:00:00   | 04h18m13s    | 20°02'31"    | 0.01 AU      | 23.039°
1110-06-21   | 00:00:00   | 06h54m56s    | 23°31'30"    | 0.01 AU      | 13.810°
1120-06-21   | 00:00:00   | 04h10m15s    | 20°03'30"    | 0.01 AU      | 25.002°
1130-06-21   | 00:00:00   | 07h11m21s    | 23°00'19"    | 0.01 AU      | 17.460°
1140-06-21   | 00:00:00   | 04h10m54s    | 20°25'26"    | 0.01 AU      | 24.919°
1150-06-21   | 00:00:00   | 07h25m27s    | 22°24'24"    | 0.01 AU      | 20.614°
1160-06-21   | 00:00:00   | 04h17m40s    | 21°00'53"    | 0.01 AU      | 23.397°
1170-06-21   | 00:00:00   | 07h36m19s    | 21°47'55"    | 0.01 AU      | 23.046°
1180-06-21   | 00:00:00   | 04h28m47s    | 21°42'46"    | 0.01 AU      | 20.874°
1190-06-21   | 00:00:00   | 07h42m38s    | 21°16'13"    | 0.01 AU      | 24.440°
1200-06-21   | 00:00:00   | 04h42m59s    | 22°25'20"    | 0.01 AU      | 17.658°
1210-06-21   | 00:00:00   | 07h42m32s    | 20°55'40"    | 0.01 AU      | 24.336°
1220-06-21   | 00:00:00   | 04h59m26s    | 23°04'06"    | 0.01 AU      | 13.965°
1230-06-21   | 00:00:00   | 07h33m26s    | 20°52'16"    | 0.01 AU      | 22.115°
1240-06-21   | 00:00:00   | 05h17m27s    | 23°35'48"    | 0.01 AU      | 9.952°
1250-06-21   | 00:00:00   | 07h12m20s    | 21°07'10"    | 0.01 AU      | 17.092°
1260-06-21   | 00:00:00   | 05h36m29s    | 23°58'04"    | 0.01 AU      | 5.748°
1270-06-21   | 00:00:00   | 06h37m50s    | 21°28'27"    | 0.01 AU      | 9.020°
1280-06-21   | 00:00:00   | 05h56m06s    | 24°09'26"    | 0.01 AU      | 1.554°
1290-06-21   | 00:00:00   | 05h54m06s    | 21°31'31"    | 0.01 AU      | 2.395°
